商品名称,价格,简介
AOCU28G2X,3999.00元,商品编号:100023727676;商品毛重:8.55kg;商品产地:中国大陆;屏幕尺寸:28-30英寸;HDR:HDR400;分辨率:3840*2160dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:144Hz;售后服务:3年质保;面板:IPS (Fast);接口:DP，HDMI，音频/耳机输出;特性:旋转升降底座，FreeSync;屏幕比例:16:9;
创维F40G50Q,2499.00元,商品编号:100027521616;商品毛重:13.9kg;商品产地:中国大陆;屏幕尺寸:38.5-39英寸;屏幕刷新率:144Hz;分辨率:3440*1440dpi;售后服务:3年上门，3年质保;面板:IPS技术;屏幕比例:21:9;HDR:HDR400;接口:DP，HDMI，音频/耳机输出;
Redmi小米显示器23.8/27/34英寸显示屏电脑显示器低蓝光电脑屏幕红米显示器 23.8英寸Redmi显示器,849.00元,商品编号:10027902243856;店铺: 小米岸越专卖店;商品毛重:3.74kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;屏幕刷新率:60Hz;分辨率:1920*1080dpi;售后服务:3年质保;面板:IPS技术;屏幕比例:16:9;接口:HDMI，VGA;
三星S32AM700UC,2299.00元,商品编号:100016327460;商品毛重:8.4kg;商品产地:中国大陆;屏幕尺寸:31.5-32英寸;分辨率:3840*2160dpi;对比度:3000:1;屏幕刷新率:60Hz;售后服务:1年质保;面板:VA;接口:Type-C，HDMI，USB扩展/充电;特性:无线投屏;屏幕比例:16:9;
联想（Lenovo）显示器,899.00元,商品编号:55669886704;商品毛重:5.0kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;屏幕刷新率:75Hz;分辨率:1920*1080dpi;售后服务:1年质保;面板:VA;特性:可壁挂，FreeSync;接口:HDMI，VGA，音频/耳机输出;
攀升E270i,799.00元,商品编号:100014750080;商品毛重:5.01kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:1920*1080dpi;对比度:1000:1;屏幕刷新率:75Hz;售后服务:3年质保;面板:IPS技术;接口:HDMI，VGA;特性:可壁挂;屏幕比例:16:9;
三星S24AG322NC,1349.00元,商品编号:100014754407;商品毛重:6.8kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:3000:1;响应时间:1ms;屏幕刷新率:165Hz;售后服务:1年质保;面板:VA;接口:DP，HDMI;特性:旋转升降底座，FreeSync;屏幕比例:16:9;
泰坦军团C30SK PLUS,1249.00元,商品编号:100004674016;商品毛重:7.06kg;商品产地:中国大陆;屏幕尺寸:28-30英寸;分辨率:2560*1080dpi;对比度:3000:1;类型:曲面屏;响应时间:2ms-4ms;屏幕刷新率:100Hz;售后服务:3年质保;面板:VA;接口:DP，HDMI，音频/耳机输出;屏幕比例:21:9;曲率:1800R;
KKTV/,759.00元,商品编号:10034472907669;店铺: KKTV显示器旗舰店;商品毛重:4.5kg;屏幕尺寸:23.5-24英寸;屏幕刷新率:144Hz;分辨率:其他;售后服务:1年质保;面板:其他;接口:DP，HDMI;
夏新（Amoi）SJ240E4,349.00元,商品编号:70219922026;店铺: 夏新电脑显示器旗舰店;商品毛重:3.0kg;屏幕尺寸:21.5英寸及以下;分辨率:其他;响应时间:2ms-4ms;屏幕刷新率:60Hz;售后服务:1年质保;面板:其他;接口:VGA;特性:可壁挂;屏幕比例:16:10;
金正(NINTAUS)24英寸曲面22电脑显示器屏幕144HZ电竞27游戏2K高清HDMI液晶32 22英寸直黑HDMI+VGA 75HZ,429.00元,商品编号:10030821647823;店铺: 金正电脑显示器旗舰店;商品毛重:3.2kg;商品产地:中国大陆;屏幕尺寸:22-23英寸;分辨率:其他;对比度:1000:1;响应时间:2ms-4ms;屏幕刷新率:75Hz;售后服务:1年质保;面板:VA;接口:HDMI，VGA;屏幕比例:16:9;
雕塑家MF156LN,999.00元,商品编号:100005976169;商品毛重:1.72kg;商品产地:中国大陆;货号:MF156LN;屏幕尺寸:21.5英寸及以下;HDR:HDR10;分辨率:1920*1080dpi;对比度:800:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:1年质保;面板:IPS技术;接口:Type-C，HDMI，音频/耳机输出;特性:内置音箱，FreeSync;屏幕比例:16:9;
优派VX2880-4K-HDU-2,1799.00元,商品编号:100027588320;商品毛重:9.28kg;商品产地:中国大陆;屏幕尺寸:28-30英寸;HDR:HDR400;分辨率:3840*2160dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:Type-C，DP，HDMI，USB扩展/充电，音频/耳机输出;特性:可壁挂，旋转升降底座;屏幕比例:16:9;
戴尔DELL 17/19英寸5:4正屏商用液晶显示器 电脑显示屏幕 E1715S,849.00元,商品编号:71877669229;店铺: 联众创业显示器专营店;商品毛重:3.76kg;售后服务:3年上门，3年质保;
星惠佳  19英寸窄边直面显示器台式电脑商务办公游戏液晶显示屏,299.00元,商品编号:55341304569;店铺: 星惠佳电脑旗舰店;商品毛重:4.0kg;售后服务:1年质保;
三星S27A600UUC,2299.00元,商品编号:100021538780;商品毛重:8.35kg;商品产地:中国大陆;屏幕尺寸:27英寸;HDR:HDR10;分辨率:2560*1440dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:75Hz;售后服务:1年质保;面板:IPS技术;接口:Type-C，DP，HDMI;特性:旋转升降底座，FreeSync;屏幕比例:16:9;
华为MateView GT 27英寸,1599.00元,商品编号:100014089199;商品毛重:10.45kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:2560*1440dpi;对比度:4000:1;类型:曲面屏;屏幕刷新率:165Hz;售后服务:1年质保;面板:VA;接口:DP，HDMI，USB扩展/充电;屏幕比例:16:9;
三星F27T352FHC,1099.00元,商品编号:100014719950;商品毛重:4.95kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:75Hz;售后服务:1年质保;面板:IPS技术;接口:HDMI，VGA;特性:FreeSync，可壁挂;屏幕比例:16:9;
AOCI2490PXC,1249.00元,商品编号:100008522091;商品毛重:6.5kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:2ms-4ms;屏幕刷新率:75Hz;售后服务:3年质保;面板:IPS技术;接口:Type-C，HDMI，VGA，音频/耳机输出;特性:节能认证，旋转升降底座，FreeSync，可壁挂;屏幕比例:16:9;
飞利浦278E1,1699.00元,商品编号:100010373850;商品毛重:7.0kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:3840*2160dpi;对比度:1000:1;响应时间:2ms-4ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，音频/耳机输出;特性:可壁挂;屏幕比例:16:9;
雷神LQ27F165L,2499.00元,商品编号:100024253338;商品毛重:9.67kg;商品产地:中国大陆;屏幕尺寸:27英寸;HDR:HDR400;分辨率:2560*1440dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:165Hz;售后服务:3年质保;面板:IPS (Fast);接口:DP，HDMI，音频/耳机输出;特性:旋转升降底座，G-Sync，FreeSync，可壁挂;屏幕比例:16:9;
AOCAG273QXP,2899.00元,商品编号:100011357632;商品毛重:11.88kg;商品产地:中国大陆;屏幕尺寸:27英寸;HDR:HDR400;分辨率:2560*1440dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:170Hz;售后服务:3年质保;面板:IPS（Nano）;接口:DP，HDMI，USB扩展/充电，音频/耳机输出;特性:旋转升降底座，FreeSync;屏幕比例:16:9;
华硕（ASUS）XG279Q,3999.00元,商品编号:63281232267;商品毛重:10.12kg;商品产地:中国大陆;货号:90LM05D0-B01360;屏幕尺寸:27英寸;屏幕刷新率:170Hz;分辨率:2560*1440dpi;售后服务:3年质保;面板:IPS技术;屏幕比例:16:9;特性:可壁挂，内置音箱，旋转升降底座，G-Sync;接口:DP，HDMI，USB扩展/充电，音频/耳机输出;
联想（Lenovo）家用商务网课办公显示器 联想LI2054(19.5英寸),799.00元,商品编号:64427979244;店铺: 联想新腾台式机专卖店;商品毛重:6.0kg;商品产地:中国大陆;屏幕尺寸:21.5英寸及以下;屏幕刷新率:60Hz;分辨率:其他;售后服务:1年质保;面板:VA;接口:VGA;
惠普M24f,999.00元,商品编号:100019734616;商品毛重:4.6kg;商品产地:中国大陆;货号:2E2Y4AA;屏幕尺寸:23.5-24英寸;屏幕刷新率:75Hz;分辨率:1920*1080dpi;售后服务:3年质保;面板:IPS技术;响应时间:5ms;屏幕比例:16:9;接口:HDMI，VGA;
AOCE970SWN,749.00元,商品编号:968651;商品毛重:2.7kg;商品产地:中国大陆;屏幕尺寸:21.5英寸及以下;分辨率:其他;对比度:600:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:TN;接口:VGA;特性:其他，可壁挂;屏幕比例:16:9;
夏新Amoi 电脑显示器高清4K护眼IPS家用2K办公电竞游戏144H液晶VGA监控显示屏幕 27英寸曲面【全面屏】白色 1,769.00元,商品编号:63692964614;店铺: 夏新电脑显示器旗舰店;商品毛重:4.5kg;商品产地:中国大陆;屏幕尺寸:27英寸;屏幕刷新率:60Hz;分辨率:1920*1080dpi;售后服务:1年质保;面板:VA;响应时间:2ms-4ms;屏幕比例:16:9;接口:HDMI，VGA;
联想L24e,899.00元,商品编号:100010699301;商品毛重:4.95kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:3000:1;响应时间:2ms-4ms;屏幕刷新率:75Hz;售后服务:1年质保;面板:VA;接口:HDMI，VGA;特性:FreeSync，可壁挂;屏幕比例:16:9;
飞利浦（PHILIPS ）342E2E,1699.00元,商品编号:71572813694;店铺: 飞利浦显示器旗舰店;商品毛重:10.74kg;商品产地:中国大陆;货号:342E2E;屏幕尺寸:34-35英寸;分辨率:2560*1080dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:75Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，音频/耳机输出;特性:可壁挂，旋转升降底座，FreeSync;屏幕比例:21:9;
HKCSG27QC,1449.00元,商品编号:100004581277;商品毛重:6.2kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:2560*1440dpi;屏幕刷新率:144Hz;面板:VA;售后服务:3年质保;接口:DP，HDMI，音频/耳机输出;屏幕比例:16:9;特性:FreeSync;曲率:1800R;
KOORUI24N1,749.00元,商品编号:100024495336;商品毛重:4.15kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:75Hz;售后服务:3年质保;面板:IPS技术;接口:HDMI，VGA;特性:节能认证;屏幕比例:16:9;
华硕（ASUS）VG247Q1A,1199.00元,商品编号:53637335670;店铺: 华硕电脑配件专卖店;商品毛重:6.0kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:165Hz;售后服务:3年质保;面板:VA;接口:DP，HDMI;屏幕比例:16:9;
泰坦军团P34UG,2499.00元,商品编号:100026819202;商品毛重:14.05kg;商品产地:中国大陆;货号:P34UG;屏幕尺寸:34-35英寸;HDR:HDR400;分辨率:3440*1440dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:144Hz;售后服务:3年质保;面板:IPS技术;接口:Type-C，DP，HDMI，USB扩展/充电，音频/耳机输出;特性:旋转升降底座;屏幕比例:21:9;
夏新（Amoi）SJ240E4,349.00元,商品编号:70219922027;店铺: 夏新电脑显示器旗舰店;商品毛重:3.0kg;屏幕尺寸:21.5英寸及以下;分辨率:其他;响应时间:2ms-4ms;屏幕刷新率:60Hz;售后服务:1年质保;面板:VA;接口:VGA;特性:可壁挂;屏幕比例:16:9;
三星S28AG704NC,4999.00元,商品编号:100023265836;商品毛重:10.1kg;商品产地:中国大陆;屏幕尺寸:28-30英寸;HDR:HDR400;分辨率:3840*2160dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:144Hz;售后服务:1年质保;面板:IPS技术;接口:DP;特性:旋转升降底座，FreeSync;屏幕比例:16:9;
联想（Lenovo）联想,1499.00元,商品编号:68345548349;商品毛重:5.38kg;屏幕尺寸:23.5-24英寸;屏幕刷新率:75Hz;分辨率:2560*1440dpi;售后服务:1年质保;面板:IPS技术;屏幕比例:16:9;接口:DP，HDMI;
AOCI2490PXZ,1199.00元,商品编号:5514525;商品毛重:6.5kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS（LGD）;接口:DP，HDMI，DVI，VGA，音频/耳机输出;特性:四边微边框，旋转升降底座，可壁挂;屏幕比例:16:9;
夏新（Amoi）22曲面电脑24显示器2K超薄高清护眼144HZ家用办公游戏液晶监控显示屏幕 24英寸曲面144Hz电竞款【全面屏】黑色,759.00元,商品编号:65559228870;店铺: 夏新电脑显示器旗舰店;商品毛重:4.0kg;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;响应时间:2ms-4ms;屏幕刷新率:144Hz;售后服务:1年质保;面板:TN;接口:DP，HDMI;特性:可壁挂;屏幕比例:16:9;
创维27X4,899.00元,商品编号:100023014788;商品毛重:5.15kg;商品产地:中国大陆;屏幕尺寸:27英寸;屏幕刷新率:75Hz;分辨率:1920*1080dpi;售后服务:3年上门，3年质保;面板:IPS技术;对比度:1000:1;屏幕比例:16:9;接口:HDMI，VGA;
乐歌F8A,299.00元,商品编号:5789579;商品毛重:3.48kg;商品产地:中国大陆;安装方式:桌夹式;适配类型:有孔显示器;支架屏数:单屏;工作原理:气弹式;类别:支架;
三星F24T352FHC,999.00元,商品编号:100014719932;商品毛重:4.15kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:75Hz;售后服务:1年质保;面板:IPS技术;接口:HDMI，VGA;屏幕比例:16:9;
夏新（Amoi）22曲面电脑24显示器2K超薄高清护眼144HZ家用办公游戏液晶监控显示屏幕 24英寸直面75Hz黑色,599.00元,商品编号:65559228871;店铺: 夏新电脑显示器旗舰店;商品毛重:4.0kg;屏幕尺寸:23.5-24英寸;屏幕刷新率:75Hz;分辨率:1920*1080dpi;售后服务:1年质保;响应时间:2ms-4ms;面板:VA;接口:HDMI，VGA;
华硕（ASUS）VG248QG,1249.00元,商品编号:54204591352;店铺: 华硕电脑配件专卖店;商品毛重:5.2kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;屏幕刷新率:165Hz;分辨率:1920*1080dpi;售后服务:3年质保;面板:TN;响应时间:0.5ms;屏幕比例:16:9;接口:DP，HDMI，DVI;
LG27UL850,2999.00元,商品编号:100001728759;商品毛重:9.08kg;商品产地:中国大陆;屏幕尺寸:27英寸;HDR:HDR400;分辨率:3840*2160dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:Type-C，DP，HDMI，音频/耳机输出;特性:旋转升降底座，FreeSync，内置音箱，可壁挂;屏幕比例:16:9;
剑齿虎（Sabretooth）GAME—F3,1000.00元,商品编号:10030381493714;店铺: 剑齿虎显示器旗舰店;商品毛重:5.7kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:144Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，DVI，VGA，音频/耳机输出;特性:旋转升降底座，FreeSync;屏幕比例:16:9;
长城19CL73DLIF,639.00元,商品编号:2891405;商品毛重:2.84kg;商品产地:中国大陆;屏幕尺寸:21.5英寸及以下;分辨率:其他;对比度:700:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:TN;接口:DVI，VGA;特性:节能认证;屏幕比例:16:9;
飞利浦（PHILIPS ）223系列,799.00元,商品编号:64264330487;店铺: 飞利浦显示器旗舰店;商品毛重:3.84kg;商品产地:中国大陆;货号:223系列;屏幕尺寸:21.5英寸及以下;分辨率:1920*1080dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:TN;接口:VGA;特性:可壁挂;屏幕比例:16:9;
华硕（ASUS）VG259QM,2349.00元,商品编号:66618777055;店铺: 华硕电脑配件专卖店;商品毛重:7.26kg;屏幕尺寸:24.5-26.9英寸;HDR:HDR400;分辨率:1920*1080dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:240Hz及以上;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，音频/耳机输出;屏幕比例:16:9;
夏新Amoi 电脑显示器高清4K护眼IPS家用2K办公电竞游戏144H液晶VGA监控显示屏幕 32英寸曲面75Hz【全面屏】白色 1,899.00元,商品编号:63690000659;店铺: 夏新电脑显示器旗舰店;商品毛重:4.5kg;商品产地:中国大陆;屏幕尺寸:31.5-32英寸;屏幕刷新率:75Hz;分辨率:1920*1080dpi;售后服务:1年质保;面板:VA;响应时间:2ms-4ms;屏幕比例:16:9;接口:DP，HDMI，USB扩展/充电，音频/耳机输出;
松人（SONGREN）270M4FCBKVSR,899.00元,商品编号:62770302406;店铺: 松人数码旗舰店;商品毛重:5.0kg;屏幕尺寸:27英寸;屏幕刷新率:144Hz;分辨率:1920*1080dpi;售后服务:3年质保;面板:VA;屏幕比例:16:9;接口:DP，HDMI，USB扩展/充电，音频/耳机输出;
BOECA27D0,1399.00元,商品编号:100007644505;商品毛重:6.42kg;商品产地:中国大陆;屏幕尺寸:27英寸;屏幕刷新率:75Hz;分辨率:2560*1440dpi;售后服务:3年上门，3年质保;面板:IPS技术;屏幕比例:16:9;特性:节能认证;接口:Type-C，DP，HDMI，USB扩展/充电，音频/耳机输出;
夏新（Amoi）24电脑显示器高清4K家用2K办公电竞游戏144H超薄液晶监控27曲面屏幕IPS 22英寸直面窄边框75HZ黑色,468.00元,商品编号:10030789875267;店铺: 德庆电脑办公专营店;商品毛重:10.0kg;屏幕尺寸:22-23英寸;屏幕刷新率:75Hz;分辨率:其他;售后服务:3年质保;面板:VA;接口:HDMI，VGA;
小米（MI）Redmi 1A 23.8英寸,899.00元,商品编号:70083252184;店铺: 科族数码专营店;商品毛重:3.75kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;屏幕刷新率:60Hz;分辨率:1920*1080dpi;售后服务:3年质保;面板:IPS技术;屏幕比例:16:9;接口:HDMI，VGA;
外星人（alienware）AW2721D,7999.00元,商品编号:10022867437301;店铺: 外星人官方旗舰店;商品毛重:5.0kg;货号:AW2721D;屏幕尺寸:27英寸;分辨率:2560*1440dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:240Hz及以上;售后服务:5年质保;面板:IPS技术;接口:HDMI;屏幕比例:16:9;
夏新（Amoi）24电脑显示器办公家用网吧液晶台式显示屏电竞游戏hdmi 22英寸直面黑色,469.00元,商品编号:63816255760;店铺: 夏新电脑显示器旗舰店;商品毛重:4.5kg;商品产地:中国大陆;屏幕尺寸:22-23英寸;屏幕刷新率:60Hz;分辨率:其他;售后服务:1年质保;面板:VA;屏幕比例:16:9;特性:可壁挂;接口:HDMI，VGA;
小米（MI）RMMNT238NF,849.00元,商品编号:70838888843;店铺: 千百回数码旗舰店;商品毛重:3.0kg;屏幕尺寸:23.5-24英寸;屏幕刷新率:60Hz;分辨率:1920*1080dpi;售后服务:3年质保;面板:IPS技术;对比度:1000:1;接口:HDMI，VGA;
威普森WPS-F1900-E ,450.00元,商品编号:100012295909;商品毛重:2.8kg;商品产地:中国大陆;屏幕尺寸:21.5英寸及以下;屏幕刷新率:其他;分辨率:其他;售后服务:1年质保;面板:其他;接口:HDMI，VGA，USB扩展/充电，音频/耳机输出;
华硕（ASUS）VG247Q1A,1199.00元,商品编号:53637335670;店铺: 华硕电脑配件专卖店;商品毛重:6.0kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:165Hz;售后服务:3年质保;面板:VA;接口:DP，HDMI;屏幕比例:16:9;
BrateckLDA31-112,199.00元,商品编号:5702274;商品毛重:2.115kg;商品产地:中国大陆;货号:LDA31-112;安装方式:壁挂式;特征:曲面适配;支架屏数:单屏;类别:支架;适配类型:有孔显示器;工作原理:气弹式;升降台:气压升降;
夏新（Amoi）22曲面电脑24显示器2K超薄高清护眼144HZ家用办公游戏液晶监控显示屏幕 24英寸直面75Hz黑色,599.00元,商品编号:65559228871;店铺: 夏新电脑显示器旗舰店;商品毛重:4.0kg;屏幕尺寸:23.5-24英寸;屏幕刷新率:75Hz;分辨率:1920*1080dpi;售后服务:1年质保;响应时间:2ms-4ms;面板:VA;接口:HDMI，VGA;
长城WESCOM显示器 27英寸4K/2K 144Hz电脑曲面屏粉色24电竞165设计32升降IPS 长城24英寸 75Hz高清曲面屏,699.00元,商品编号:10025902573310;店铺: 航向者组装电脑旗舰店;商品毛重:5.0kg;货号:HX061;屏幕尺寸:23.5-24英寸;屏幕刷新率:75Hz;分辨率:1920*1080dpi;售后服务:1年质保;面板:VA;响应时间:2ms-4ms;屏幕比例:16:9;接口:HDMI，VGA;
