商品名称,价格,简介
华硕VG249Q,1249.00元,商品编号:100005290843;商品毛重:7.85kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:144Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，VGA;特性:旋转升降底座;屏幕比例:16:9;
华硕 24英寸IPS小金刚165HZ电竞显示器VG259QR/VG249Q1A游戏吃鸡高清电脑显示器 VG259QR,1449.00元,商品编号:59864312494;店铺: 武极电脑DIY旗舰店;商品毛重:9.13kg;货号:XJWLLXSQVG259QR;屏幕尺寸:24.5-26.9英寸;HDR:HDR10;分辨率:1920*1080dpi;响应时间:1ms;屏幕刷新率:165Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，音频/耳机输出;屏幕比例:16:9;
小米显示器23.8/24.5/27英寸直面屏34英寸曲面屏广视角低蓝光 23.8英寸红米Redmi显示器1A【主推】 官方标配,779.00元,商品编号:68287520025;店铺: 科族数码专营店;商品毛重:3.0kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;屏幕刷新率:60Hz;分辨率:1920*1080dpi;售后服务:3年质保;面板:IPS技术;屏幕比例:16:9;接口:HDMI，VGA;
AOCQ27N3C,1999.00元,商品编号:100022675586;商品毛重:8.8kg;商品产地:中国大陆;屏幕尺寸:27英寸;HDR:HDR10;分辨率:2560*1440dpi;对比度:1000:1;响应时间:2ms-4ms;屏幕刷新率:75Hz;售后服务:3年质保;面板:IPS技术;接口:Type-C，DP，HDMI，USB扩展/充电，音频/耳机输出;特性:节能认证，旋转升降底座，FreeSync;屏幕比例:16:9;
夏新Amoi 电脑显示器高清4K护眼IPS家用2K办公电竞游戏144H液晶VGA监控显示屏幕 27英寸曲面【全面屏】白色 1,769.00元,商品编号:63692964614;店铺: 夏新电脑显示器旗舰店;商品毛重:4.5kg;商品产地:中国大陆;屏幕尺寸:27英寸;屏幕刷新率:60Hz;分辨率:1920*1080dpi;售后服务:1年质保;面板:VA;响应时间:2ms-4ms;屏幕比例:16:9;接口:HDMI，VGA;
夏新Amoi 电脑显示器高清4K护眼IPS家用2K办公电竞游戏144H液晶VGA监控显示屏幕 27英寸曲面165Hz【全面屏】黑色 1,899.00元,商品编号:63690000654;店铺: 夏新电脑显示器旗舰店;商品毛重:4.5kg;商品产地:中国大陆;屏幕尺寸:27英寸;屏幕刷新率:165Hz;分辨率:1920*1080dpi;售后服务:1年质保;面板:VA;响应时间:2ms-4ms;屏幕比例:16:9;接口:DP，HDMI;
泰坦军团27G1,1499.00元,商品编号:100017097146;商品毛重:7.76kg;商品产地:中国大陆;货号:27G1;屏幕尺寸:27英寸;HDR:HDR400;分辨率:2560*1440dpi;对比度:1000:1;类型:商用大屏显示器;响应时间:1ms;屏幕刷新率:165Hz;售后服务:3年质保;面板:IPS (Fast);接口:DP，HDMI，音频/耳机输出;特性:旋转升降底座，四边微边框，S+品质认证;屏幕比例:16:9;
三星QE43T,2999.00元,商品编号:100008352225;商品毛重:11.7kg;商品产地:越南;屏幕尺寸:43-46英寸;屏幕刷新率:60Hz;分辨率:3840*2160dpi;售后服务:3年质保;面板:VA;屏幕比例:16:9;特性:可壁挂，内置音箱，节能认证;接口:HDMI，USB扩展/充电;
KOORUI22N1,799.00元,商品编号:100012905969;商品毛重:3.63kg;商品产地:中国大陆;屏幕尺寸:21.5英寸及以下;分辨率:1920*1080dpi;对比度:2500:1;响应时间:5ms;屏幕刷新率:75Hz;售后服务:3年质保;面板:VA;接口:HDMI，VGA;特性:可壁挂，节能认证;屏幕比例:16:9;
夏新（Amoi）22曲面电脑24显示器2K超薄高清护眼144HZ家用办公游戏液晶监控显示屏幕 24英寸曲面144Hz电竞款【全面屏】黑色,759.00元,商品编号:65559228870;店铺: 夏新电脑显示器旗舰店;商品毛重:4.0kg;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;响应时间:2ms-4ms;屏幕刷新率:144Hz;售后服务:1年质保;面板:TN;接口:DP，HDMI;特性:可壁挂;屏幕比例:16:9;
夏新Amoi 电脑显示器高清4K护眼IPS家用2K办公电竞游戏144H液晶VGA监控显示屏幕 27英寸直面【全面屏】白色 1,759.00元,商品编号:63699724113;店铺: 夏新电脑显示器旗舰店;商品毛重:4.5kg;商品产地:中国大陆;屏幕尺寸:27英寸;屏幕刷新率:60Hz;分辨率:1920*1080dpi;售后服务:1年质保;面板:其他;响应时间:2ms-4ms;屏幕比例:16:9;接口:HDMI，VGA;
微星G273QPF,1699.00元,商品编号:100017613850;商品毛重:9.25kg;商品产地:中国;屏幕尺寸:27英寸;分辨率:2560*1440dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:165Hz;售后服务:3年上门，3年质保;面板:IPS技术;接口:DP，HDMI，音频/耳机输出，其他;特性:G-Sync;屏幕比例:16:9;
三星F27G35TFWC,1499.00元,商品编号:100009042365;商品毛重:8.3kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:1920*1080dpi;对比度:4000:1;响应时间:1ms;屏幕刷新率:144Hz;售后服务:1年质保;面板:VA;接口:HDMI，音频/耳机输出;特性:旋转升降底座，FreeSync，可壁挂;屏幕比例:16:9;
华为（HUAWEI）HUAWEI MateView GT,3599.00元,商品编号:10031574310479;店铺: 华为新通路专卖店;商品毛重:10.0kg;屏幕尺寸:34-35英寸;HDR:HDR10;分辨率:3440*1440dpi;对比度:4000:1;响应时间:2ms-4ms;屏幕刷新率:165Hz;售后服务:1年质保;面板:VA;接口:Type-C，DP，HDMI，音频/耳机输出;屏幕比例:21:9;曲率:1500R;
AOCU32P2C,2699.00元,商品编号:100014947256;商品毛重:12.6kg;商品产地:中国大陆;屏幕尺寸:31.5-32英寸;分辨率:3840*2160dpi;响应时间:2ms-4ms;屏幕刷新率:60Hz;售后服务:3年上门，3年质保;面板:VA;接口:Type-C，DP，HDMI，USB扩展/充电，音频/耳机输出;特性:节能认证，旋转升降底座;屏幕比例:16:9;
雷神银翼LF27F165L,1499.00元,商品编号:100028831470;商品毛重:9.5kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:165Hz;售后服务:3年上门，3年质保;面板:IPS (Fast);接口:DP，HDMI，音频/耳机输出;特性:旋转升降底座，G-Sync，FreeSync，可壁挂;屏幕比例:16:9;
长城19CL73DLIF,639.00元,商品编号:2891405;商品毛重:2.84kg;商品产地:中国大陆;屏幕尺寸:21.5英寸及以下;分辨率:其他;对比度:700:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:TN;接口:DVI，VGA;特性:节能认证;屏幕比例:16:9;
华硕（ASUS）VG248QG,1249.00元,商品编号:54204591352;店铺: 华硕电脑配件专卖店;商品毛重:5.2kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;屏幕刷新率:165Hz;分辨率:1920*1080dpi;售后服务:3年质保;面板:TN;响应时间:0.5ms;屏幕比例:16:9;接口:DP，HDMI，DVI;
AOCAOC 27G2,1499.00元,商品编号:49815153469;店铺: 武极电脑DIY旗舰店;商品毛重:4.75kg;货号:XJWLL27G2;屏幕尺寸:27英寸;分辨率:1920*1080dpi;响应时间:1ms;屏幕刷新率:144Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，VGA，音频/耳机输出;特性:可壁挂，旋转升降底座;屏幕比例:16:9;
华为ZQE-CBA,2399.00元,商品编号:100021420808;商品毛重:12.86kg;商品产地:中国大陆;屏幕尺寸:34-35英寸;HDR:HDR10;分辨率:3440*1440dpi;对比度:4000:1;屏幕刷新率:165Hz;售后服务:1年质保;面板:VA;接口:DP，HDMI，USB扩展/充电;屏幕比例:21:9;曲率:1500R;
创维22X2,679.00元,商品编号:100027521618;商品毛重:3.2kg;商品产地:中国大陆;屏幕尺寸:21.5英寸及以下;屏幕刷新率:75Hz;分辨率:1920*1080dpi;售后服务:3年上门，3年质保;面板:VA;屏幕比例:16:9;接口:HDMI，VGA;
AOCCQ27G3Z,2699.00元,商品编号:100027676438;商品毛重:8.65kg;商品产地:中国大陆;屏幕尺寸:27英寸;HDR:HDR10;分辨率:2560*1440dpi;对比度:3000:1;类型:曲面屏;响应时间:0.5ms;屏幕刷新率:240Hz及以上;接口:DP，HDMI，音频/耳机输出;售后服务:3年质保;屏幕比例:16:9;面板:VA;特性:旋转升降底座，FreeSync;曲率:1000R;
ROG XG27AQ/XG27AQM,3689.00元,商品编号:10026330271711;店铺: 玩家国度ROG官方旗舰店;商品毛重:11.9kg;货号: XG27AQ/XG27AQM;屏幕尺寸:27英寸;HDR:HDR400;分辨率:2560*1440dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:170Hz;售后服务:3年质保;面板:IPS (Fast);接口:DP，HDMI，USB扩展/充电，音频/耳机输出;特性:内置音箱，旋转升降底座，可壁挂，G-Sync;屏幕比例:16:9;
三星C34G55TWWC,3499.00元,商品编号:100016953088;商品毛重:7.8kg;商品产地:中国大陆;屏幕尺寸:34-35英寸;HDR:HDR10;分辨率:3440*1440dpi;对比度:2500:1;屏幕刷新率:165Hz;面板:VA;售后服务:1年质保;屏幕比例:21:9;接口:HDMI，音频/耳机输出;特性:FreeSync;曲率:1000R;
优派VX3276-4k-MHD,2099.00元,商品编号:100010713575;商品毛重:8.75kg;商品产地:中国大陆;货号:VX3276-4k-MHD;屏幕尺寸:31.5-32英寸;HDR:HDR10;分辨率:3840*2160dpi;响应时间:2ms-4ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:VA;接口:DP，HDMI，音频/耳机输出;特性:可壁挂，内置音箱;屏幕比例:16:9;
康佳KKTV 电脑显示器高清电竞144Hz游戏家用办公吃鸡护眼液晶监控IPS4显示屏幕台式HDMI 24英寸平面黑色【微边框-75Hz】,699.00元,商品编号:10024482778651;店铺: KKTV新森专卖店;商品毛重:4.0kg;屏幕尺寸:23.5-24英寸;屏幕刷新率:75Hz;分辨率:1920*1080dpi;售后服务:1年质保;面板:VA;屏幕比例:16:9;接口:HDMI，VGA;
AOCU32P2C,2699.00元,商品编号:100014947256;商品毛重:12.6kg;商品产地:中国大陆;屏幕尺寸:31.5-32英寸;分辨率:3840*2160dpi;响应时间:2ms-4ms;屏幕刷新率:60Hz;售后服务:3年上门，3年质保;面板:VA;接口:Type-C，DP，HDMI，USB扩展/充电，音频/耳机输出;特性:节能认证，旋转升降底座;屏幕比例:16:9;
华硕（ASUS）VG279Q1A,1499.00元,商品编号:41012080022;店铺: 华硕电脑配件专卖店;商品毛重:6.725kg;商品产地:中国大陆;货号:VG279Q1A;屏幕尺寸:27英寸;屏幕刷新率:165Hz;分辨率:1920*1080dpi;售后服务:3年质保;面板:IPS技术;屏幕比例:16:9;接口:DP，HDMI，音频/耳机输出;
夏新Amoi 电脑显示器高清4K护眼IPS家用2K办公电竞游戏144H液晶VGA监控显示屏幕 27英寸曲面165Hz【全面屏】黑色 1,899.00元,商品编号:63690000654;店铺: 夏新电脑显示器旗舰店;商品毛重:4.5kg;商品产地:中国大陆;屏幕尺寸:27英寸;屏幕刷新率:165Hz;分辨率:1920*1080dpi;售后服务:1年质保;面板:VA;响应时间:2ms-4ms;屏幕比例:16:9;接口:DP，HDMI;
三星C34G55TWWC,3499.00元,商品编号:100016953088;商品毛重:7.8kg;商品产地:中国大陆;屏幕尺寸:34-35英寸;HDR:HDR10;分辨率:3440*1440dpi;对比度:2500:1;屏幕刷新率:165Hz;面板:VA;售后服务:1年质保;屏幕比例:21:9;接口:HDMI，音频/耳机输出;特性:FreeSync;曲率:1000R;
AOCC27G2Z,1599.00元,商品编号:19562689148;店铺: 京天DIY电脑旗舰店;商品毛重:7.8kg;商品产地:中国大陆;货号:C27G2Z;屏幕尺寸:27英寸;分辨率:1920*1080dpi;对比度:3000:1;类型:曲面屏;响应时间:0.5ms;屏幕刷新率:240Hz及以上;面板:VA;售后服务:3年质保;屏幕比例:16:9;接口:DP，HDMI，音频/耳机输出;特性:旋转升降底座，FreeSync;曲率:1500R;
KTCH32S12,1799.00元,商品编号:100015023797;商品毛重:9.495kg;商品产地:中国大陆;屏幕尺寸:31.5-32英寸;HDR:HDR10;分辨率:2560*1440dpi;对比度:3000:1;类型:曲面屏;响应时间:1ms;屏幕刷新率:165Hz;接口:DP，HDMI，音频/耳机输出;售后服务:3年质保;屏幕比例:16:9;面板:VA;特性:旋转升降底座，G-Sync，FreeSync;曲率:1500R;
康佳KKTV 21.5/22英寸台式电脑显示器家用办公游戏电竞薄护眼高清液晶VGA监控屏幕HDMI 18.5英寸平面黑色【窄边框-60Hz】,429.00元,商品编号:70500815363;店铺: KKTV新森专卖店;商品毛重:3.0kg;屏幕尺寸:21.5英寸及以下;屏幕刷新率:60Hz;分辨率:其他;售后服务:1年质保;面板:其他;屏幕比例:16:9;接口:VGA;
飞利浦（PHILIPS ）276E8VJSB,1699.00元,商品编号:42929379842;店铺: 飞利浦显示器旗舰店;商品毛重:6.73kg;商品产地:中国大陆;货号:276E8VJSB;屏幕尺寸:27英寸;分辨率:3840*2160dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，音频/耳机输出;屏幕比例:16:9;
戴尔D2721H,1099.00元,商品编号:100014522304;商品毛重:6.0kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:HDMI，VGA;特性:节能认证，TUV爱眼认证;屏幕比例:16:9;
飞利浦（PHILIPS ）292E2E,1499.00元,商品编号:71444129680;商品毛重:7.67kg;商品产地:中国大陆;货号:292E2E;屏幕尺寸:28-30英寸;分辨率:2560*1080dpi;对比度:1000:1;响应时间:2ms-4ms;屏幕刷新率:75Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，音频/耳机输出;特性:FreeSync，可壁挂，节能认证;屏幕比例:21:9;
ZOWIE GEARXL2436K,2099.00元,商品编号:100009264171;商品毛重:9.02kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:144Hz;售后服务:3年质保;面板:TN;接口:DP，HDMI，音频/耳机输出，其他;特性:旋转升降底座;屏幕比例:16:9;
KKTVE55C55,899.00元,商品编号:10037620262242;店铺: KKTV显示器旗舰店;商品毛重:3.0kg;屏幕尺寸:27英寸;屏幕刷新率:165Hz;分辨率:1920*1080dpi;售后服务:1年质保;面板:VA;屏幕比例:16:9;特性:可壁挂;接口:DP，HDMI;
戴尔P2722H,1509.00元,商品编号:100023097680;商品毛重:8.95kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:1920*1080dpi;对比度:1000:1;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，VGA;特性:旋转升降底座;屏幕比例:16:9;
小米显示器23.8/24.5/27英寸直面屏34英寸曲面屏广视角低蓝光 23.8英寸红米Redmi显示器1A【主推】 官方标配,779.00元,商品编号:68287520025;店铺: 科族数码专营店;商品毛重:3.0kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;屏幕刷新率:60Hz;分辨率:1920*1080dpi;售后服务:3年质保;面板:IPS技术;屏幕比例:16:9;接口:HDMI，VGA;
AOCCQ27G3Z,2699.00元,商品编号:100027676438;商品毛重:8.65kg;商品产地:中国大陆;屏幕尺寸:27英寸;HDR:HDR10;分辨率:2560*1440dpi;对比度:3000:1;类型:曲面屏;响应时间:0.5ms;屏幕刷新率:240Hz及以上;接口:DP，HDMI，音频/耳机输出;售后服务:3年质保;屏幕比例:16:9;面板:VA;特性:旋转升降底座，FreeSync;曲率:1000R;
华硕（ASUS）VG259QR,1439.00元,商品编号:64854995227;店铺: 华硕电脑配件专卖店;商品毛重:7.1kg;屏幕尺寸:24.5-26.9英寸;屏幕刷新率:165Hz;分辨率:1920*1080dpi;售后服务:3年质保;面板:IPS技术;屏幕比例:16:9;接口:DP，HDMI;
华硕（ASUS）VG289Q1A,1999.00元,商品编号:10025330004867;店铺: 华硕电脑配件专卖店;商品毛重:7.95kg;屏幕尺寸:28-30英寸;HDR:HDR10;分辨率:3840*2160dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，音频/耳机输出;屏幕比例:16:9;
KKTVE55C55,699.00元,商品编号:10037616732342;店铺: KKTV显示器旗舰店;商品毛重:3.0kg;屏幕尺寸:23.5-24英寸;屏幕刷新率:75Hz;分辨率:1920*1080dpi;售后服务:1年质保;面板:VA;屏幕比例:16:9;特性:可壁挂;接口:HDMI，VGA;
AOCAOC 27G2,1499.00元,商品编号:49815153469;店铺: 武极电脑DIY旗舰店;商品毛重:4.75kg;货号:XJWLL27G2;屏幕尺寸:27英寸;分辨率:1920*1080dpi;响应时间:1ms;屏幕刷新率:144Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，VGA，音频/耳机输出;特性:可壁挂，旋转升降底座;屏幕比例:16:9;
飞利浦（PHILIPS ）275M1RZ,2299.00元,商品编号:67705868126;店铺: 飞利浦显示器旗舰店;商品毛重:8.38kg;商品产地:中国大陆;货号:275M1RZ;屏幕尺寸:27英寸;HDR:HDR10;分辨率:2560*1440dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:165Hz;售后服务:3年质保;面板:IPS（Nano）;接口:DP，HDMI，USB扩展/充电，音频/耳机输出;特性:可壁挂，内置音箱，旋转升降底座，FreeSync;屏幕比例:16:9;
KTCH27T22,1399.00元,商品编号:100027676442;商品毛重:7.62kg;商品产地:中国大陆;屏幕尺寸:27英寸;HDR:HDR10;分辨率:2560*1440dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:165Hz;售后服务:3年质保;面板:IPS (Fast);接口:DP，HDMI，音频/耳机输出;特性:可壁挂，旋转升降底座，G-Sync，FreeSync;屏幕比例:16:9;
优派VX2419-4K-HD,2599.00元,商品编号:100023727674;商品毛重:7.3kg;商品产地:中国大陆;货号:VX2419-4K-HD ;屏幕尺寸:23.5-24英寸;HDR:HDR10;分辨率:3840*2160dpi;对比度:1000:1;响应时间:2ms-4ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，音频/耳机输出;特性:可壁挂，旋转升降底座;屏幕比例:16:9;
创维G1AF27C,1149.00元,商品编号:100000911929;商品毛重:5.35kg;商品产地:中国大陆;屏幕尺寸:27英寸;屏幕刷新率:165Hz;分辨率:1920*1080dpi;售后服务:3年上门，3年质保;面板:VA;接口:DP，HDMI，音频/耳机输出;屏幕比例:16:9;曲率:1500R;
戴尔（DELL）P2422H,1272.00元,商品编号:1604149839;店铺: 戴尔地升专卖店;商品毛重:7.1kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;屏幕刷新率:60Hz;分辨率:1920*1080dpi;售后服务:3年上门，3年质保;面板:IPS技术;屏幕比例:16:9;特性:可壁挂，旋转升降底座;接口:DP，HDMI，VGA，USB扩展/充电;
戴尔（DELL）E2216HV,899.00元,商品编号:10021182300881;商品毛重:4.0kg;屏幕尺寸:21.5英寸及以下;屏幕刷新率:60Hz;分辨率:1920*1080dpi;售后服务:3年质保;面板:TN;屏幕比例:16:9;特性:可壁挂;接口:VGA;
泰坦军团P43UG,3399.00元,商品编号:100018204736;商品毛重:15.3kg;商品产地:中国大陆;货号:P43UG;屏幕尺寸:43-46英寸;HDR:HDR600;分辨率:3840*1080dpi;对比度:1000:1;类型:商用大屏显示器;响应时间:1ms;屏幕刷新率:120Hz;售后服务:3年质保;面板:IPS技术;接口:Type-C，DP，HDMI，USB扩展/充电，音频/耳机输出;特性:旋转升降底座;屏幕比例:32:9;
联想（Lenovo）G系列,1199.00元,商品编号:10036497189930;商品毛重:10.41kg;屏幕尺寸:27英寸;屏幕刷新率:165Hz;分辨率:1920*1080dpi;售后服务:1年质保;面板:VA;屏幕比例:16:9;特性:可壁挂;接口:DP，HDMI，音频/耳机输出;
KOIOSK2721Q,979.00元,商品编号:63135289385;店铺: KOIOS显示器旗舰店;商品毛重:7.1kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:2560*1440dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:1年质保;面板:IPS（LGD）;接口:DP，HDMI，USB扩展/充电，音频/耳机输出;屏幕比例:16:9;
戴尔（DELL）D2421H/D2721H,1149.00元,商品编号:67841021457;店铺: 戴尔官方旗舰店;商品毛重:7.0kg;货号:D2421H/D2721H;屏幕尺寸:27英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年上门，3年质保;面板:IPS技术;接口:HDMI，VGA;屏幕比例:16:9;
小米显示器23.8/24.5/27英寸直面屏34英寸曲面屏广视角低蓝光 27英寸Redmi显示器 2K 官方标配,1349.00元,商品编号:10024091700781;店铺: 科族数码专营店;商品毛重:3.0kg;商品产地:中国大陆;屏幕尺寸:27英寸;屏幕刷新率:60Hz;分辨率:2560*1440dpi;售后服务:3年质保;面板:IPS技术;屏幕比例:16:9;接口:HDMI，USB扩展/充电，音频/耳机输出;
华硕MB16AC,1699.00元,商品编号:4190031;商品毛重:2.8kg;商品产地:中国大陆;屏幕尺寸:21.5英寸及以下;屏幕刷新率:60Hz;分辨率:1920*1080dpi;售后服务:3年质保;面板:IPS技术;屏幕比例:16:9;接口:Type-C;
