书名,作者,分类,状态,介绍,字数
宇宙职业选手,我吃西红柿,科幻·未来世界,连载,2036年，人类第一次登上了荧火星。2052年，第一届世界武道大赛举行，这也是全球最高格斗赛事，全球为之狂热。世界级顶尖选手“枪魔”许景明，于二十六岁那年，带着征战赛事留下的一身伤病，选择了退役……一,5.45万字
修仙就是这样子的,凤嘲凰,仙侠·幻想修仙,连载,九州世界，满怀怨气的玩家们聚集一处，滴血为盟，誓要让大魔头魂飞魄散。一时间，八方响应，风起云涌，所有人都看到了美好的明天。除了陆北。他就是那个所谓的魔头。“说我魔头，怪我坑你们，我一NPC，怎么可能坑,8.87万字
从一人开始炼蛊成仙,生物工程,轻小说·衍生同人,连载,人为万物之灵，蛊是天地真精！御虫、控蛊……炼天、成道……茫茫万界，无物不成蛊，无物不可炼！从苗疆走出的少年，踏遍诸天，炼蛊成仙，成尊，成道……ps：第一个世界很长，大家忍一下。第一个世界：一人之下……,18.46万字
海贼世界之随波逐流,锦狸儿,轻小说·衍生同人,连载,身患绝症的李察，携带属性面板穿越海贼世界。黑胡子:“你这种程度的男人，竟然会如此默默无闻，你的野心到底是什么呢？”“啊，我能有什么野心呢？不过是想简单的活着罢了。”李察如是说道。,20.93万字
红楼：庶子崛起,青锋不燥,历史·架空历史,连载,贾璟带着骑砍的游戏系统穿越到红楼世界，顶替了贾赦庶子贾琮的存在，变成了与迎春一母同胎所生的弟弟。想到贾家将要面临的衰败与被清算，以及众金钗所留下的遗憾，贾璟表示，我不同意！且看一个带着外挂的穿越者，如,18.67万字
求求你出道吧,旋转蘑菇木偶,都市·娱乐明星,连载,观众：求求你出道吧！苏野：出道只会耽误我学习，诶，就是玩儿~又名：《从给母猪接生开始爆红》,15.02万字
女主从书里跑出来了怎么办,镭射瓶,都市·都市异能,连载,楚戈是个后宫文写手。当他正在写天下最强者之一的女宗主芳心萌动的时候……一个女人出现在他的房间里，持剑架在他的脖子上：“你敢写我爱上那个男人，我就杀了你。”,8.98万字
我，锦衣卫，镇守天牢一百年,吃肉粽啊,武侠·武侠幻想,连载,这个世界很乱。朝堂中，有诸葛、铁胆两位神候。锦衣卫有四大指挥使。东西二厂有曹魏两大厂公。江湖上武当少林相互较劲，移花宫和日月神教割据一方。慈航静斋与阴葵派互斗多年。明教聚集一众草莽到处干架。重生于此，,15.93万字
如果现实游戏化,肥宅很忙,都市·都市生活,连载,现实世界突然游戏化。走过的路，听课的教室，上班的公司，变成了【副本地图】同事和同学变成了【NPC】，地图上竟然布满了危险的【野怪】工作、学习和生活，也变成了【主线任务】和【试炼挑战】……——————【,18.68万字
我，木叶的人生导师,卖身葬节操,轻小说·衍生同人,连载,京一穿越到了木叶，成了忍校的一名临时教师，还好觉醒了导师系统。教导别人就能获得奖励。于是，京一开始了忍界“教师”生涯。止水：“老师的特色火之意志，让宇智波真正找到了方向！”阿斯玛：“玉的真谛，就是守护,16.87万字
垃圾技能成就忍界最强,良潮伟,轻小说·衍生同人,连载,穿越火影世界，成为宇智波族人，还有一两年第三次忍界大战就要开战了，好慌。关键时刻，金手指上线，抽取角色获得该角色的随机一项能力，那我岂不是……“拳王梅威瑟的提肩防守、烹鱼宴的飞身十字固、马师傅的闪电五,14.61万字
最强道长：开局就是神仙,诸羊黄昏,都市·都市生活,连载,系统：“恭喜宀...”“砰！”卒。道人李卫，开局做掉系统，获得最终奖励，成为世界上唯一的神仙。,21.35万字
大明第一臣,青史尽成灰,历史·两宋元明,连载,元末濠州城外，朱元璋捡到了一个少年，从此洪武皇帝多了一条臂膀。抗元兵，渡长江，灭陈友谅，伐张士诚。创建大明，光复燕云。我无处不在。从此洪武立国，再无遗憾。大明根基，固若金汤。针对小明王的事情，我们需要,17.29万字
演唱会被天后告白，我跑路了,光影,都市·娱乐明星,连载,林慕本想安静地看一场演唱会。但没想到，歌坛天后突然在演唱会上向他告白！然后，林慕跑路了。我对大明星什么的一点兴趣都没有。我只想搞钱！“学长，以后做饭洗衣家务都归我！”“家里外面都是你做主！”“只要你愿,26.06万字
公子别秀,荣小荣,玄幻·异世大陆,连载,林秀一觉醒来，世界已经截然不同。有人力拔山兮，扛峰举鼎；有人举目千里，一览无遗；有人御风而行，逍遥天地；有人隐形匿迹，来去无踪……秀就完了。,12.45万字
入侵从寄生兽开始,木滴良心,科幻·时空穿梭,连载,某天，路森发现妹妹变成了怪物………非人类，理智利己，三观正直的朋友绕道。已写，还有备选的无限副本，请看评论区置顶。,13.74万字
无限放映厅：开局播放奥创灭世,超人阿Z,轻小说·衍生同人,连载,在庆祝剿灭九头蛇一处基地的派对上，复联众人正在一起开心的玩耍。下一秒，一个名为无限放映厅的降临，开始播放《假如....》当看完无限奥创之后，雷神毫不犹豫的一锤子抡爆了奥创的模型。播放《洛基》洛基：老人,17.21万字
大乘期才有逆袭系统,最白的乌鸦,仙侠·修真文明,连载,我叫江离，穿越过来没见到金手指，自己辛辛苦苦修炼到大乘期，现在突然蹦出来个系统，说能帮助我逆袭，让我从小小的练气期逆袭成修真界第一人。系统大哥，你出来晚了，我，江离，当代人皇，九州共尊，已经是修真界第,21.03万字
大凉镇抚司，开局扮演反派,十万菜团,仙侠·幻想修仙,连载,永和十年，悍匪流窜，恰逢巡抚过境，河宴知县为挽回形象，大造政绩，异想天开决定实行一次“富户模拟劫案演练”。县衙众人心照不宣，只是逢场作戏。然而被安排扮演劫匪的捕快齐平却有点别的想法。“穿越者的我，不能,22.9万字
我真没想当大网红啊,懒洋洋本懒,都市·都市生活,连载,纯狗粮文，齁甜，七八十章后起飞。日常、恋爱、狗粮、清新、赚钱、无毒。点开不要划走，请看一下吧。————————————浑浑噩噩半辈子，秦亦程将一事无成演绎的淋漓尽致。如果重生，你能靠什么方式发财？抄歌,20.04万字
这个世界什么时候有血条显示了,刹那辉煌,轻小说·衍生同人,连载,平凡街道中坐落的寂寂无名餐馆？钢铁都市中被封印的诅咒之物？反转错乱的神秘时空历史？……从能够看到“ID”和“血条”开始，顾墨就认为是自己的打开方式不对，他决意要重新回归到正常人的世界中去，不能够被自己,16.2万字
宝可梦修改器,骑车的风,轻小说·衍生同人,连载,三十岁，是个宅男，工作是在桃饱网卖定制6v精灵，刚接到一个大单子，还没完工，就穿越到了真实的精灵世界。带着刚修改好的自带“捡拾”特性的某鸟，以及某个能改闪光、改特性、改种族值个体值的金手指。只是，谁能,16.13万字
诸天卡组：开局漫威制卡,薄荷薇婗,科幻·时空穿梭,连载,“我做了一个梦，一个很夸张的梦。”“什么梦？”绯红女巫有些不解。其余人也是把古怪的目光投了过来。“我梦到，我成了一个很奇怪的人，托尼，娜塔莎，队长，弗瑞局长，甚至是尊敬的古一法师，都拼了命的想要杀死我,19.02万字
我凭什么不能做游戏,巫马行,都市·都市生活,连载,“在这个风云际会的大时代里，你向前走一步，你创造的，可能就是历史！”“加入我，给那些拒绝你的人看看，曾经的他们是多么的有眼无珠！”那一年。在燕京人才市场无论怎么找都找不到工作，一穷二白，只有高中学历的,18.37万字
一品丹仙,八宝饭,仙侠·幻想修仙,连载,“你是刺客吴升？”“我是刺客吴升！”“为何成了丹师？”“嗯……因为炼丹真的很赚钱！”“那为何会被通缉？”“因为……我炼的灵丹，学宫不让私下贩卖。”“那你还怎么赚钱？”“越不让卖，它就越赚钱嘛！”,15.79万字
游戏入侵：我选了最弱职业召唤师,云烟扶风,游戏·游戏异界,连载,现实世界与游戏世界融合，怪物降临现世，兽群在城市中肆虐。为了将怪物消灭在副本中，每一个拥有玩家资格的人都要猎杀怪物，选择职业，不断变强，保护人类城市不受破坏。元素法师，烈火寒冰，毁灭一切！圣职盾战，泰,21.89万字
柯南里的克学调查员,鱼本非鱼,轻小说·衍生同人,连载,Q：论密室杀人的可能性柯学侦探：1.利用钓鱼线、胶带、录像带等布置密室。2.利用机关、毒药、毒虫等完成密室内杀人。3.杀人后隐藏于密室中。...克学调查员：1.利用神话生物完成杀人。2.利用巫毒咒术完,14.84万字
我的影子是怪物杀手,红烧煎蛋,轻小说·原生幻想,连载,黑雾之下，人类的黑暗幻想与恐惧化作现实。废土之上，人类躲在移动都市苟延残喘。在怪物横行的荒诞末日，白鸦表示：“怪物什么的，鸡肉味，嘎嘣脆。”对怪物来言，白鸦才是怪物。,20.11万字
大明永乐,荣誉与忠诚,历史·两宋元明,连载,这是一个舰队下西洋，著《永乐大典》，五征塞北，有着众多战将名臣的时代。吕阳既然能参与其中，决定在永乐盛世基础上让大明变得更加伟大。在那之前，他需要先帮朱棣造个反，再靖次难！,11.66万字
我在都市签到的日子,江南一支花,都市·都市生活,连载,李旭偶得签到系统，人生从此不同。享受人生，看看风景，签签到，春暖花开，面朝大海。,16.97万字
大周不良人,一袖乾坤,仙侠·幻想修仙,连载,大周帝国，儒、释、道、武、魔五大修行体系并立。武者戎马，书生格物，道家清修，佛陀涅槃，魔教妖物觊觎南下。显隆二十七年，朝堂江湖暗流涌动，风雨欲来。赵洵穿越而至，自一口棺材中爬了出来，成为大周成国公赵渊,15万字
百亿重生,凌晨三点奶茶,都市·都市生活,连载,重生了，天降百亿。江宁看着银行卡里的数字，不由感叹：假如我三十岁，可能择一人白头到老。可我现在才二十出头……,18.4万字
三国：积粮万石，黄巾终于起义了,子虚笑乌有,历史·秦汉三国,连载,“赵子龙随我出生入死，我必视之为兄弟！”刘擎武力+0.96“沮公与养育我、辅佐我，我必待之如父！”刘擎智力+0.90“蔡昭姬博学多艺，我岂能坐视她毁于贼徒之手！”刘擎魅力+0.91“大贤良师妖言惑众，,14.08万字
什么叫羁绊型御兽师啊,二七大魔头,玄幻·异世大陆,连载,这是个人与灵兽和谐共存的世界。而御使灵兽之人，便被统称为御兽师！灵兽纳入御兽空间，并且觉醒对应御兽天赋。陆鸣发现，他的天赋和别人不太一样。【与灵兽签订契约，达成羁绊：御兽师，与灵兽心意相通，知识共享。,15.56万字
电影救世主,第十个小号角,科幻·时空穿梭,连载,我们在地球两千五百年的流浪航程中掌舵；我们在怪兽入侵的世界里驾驶机甲；我们在病毒横行的世界中拯救人类；我们在丧尸病变的都市里再造一方净土；我们在天灾肆虐后的蛮荒中寻回文明……茫茫汪洋之上，张天元获得了,6.79万字
我的马甲有点多,王玉蝉,玄幻·东方玄幻,连载,庄元穿越了……同时他玩的仙侠游戏《大道永恒》居然也跟他一起穿越了。杀怪就能爆装备、功法道术、灵丹妙药。还能得经验，功法技能也能通过消耗经验来提升。在外人眼里，庄元只是一个藉藉无名的江上渔夫，菜市场的卖,15.43万字
雷奥尼克斯，加入聊天群,感性的我,轻小说·衍生同人,连载,作为一个不会战斗的普通人，突然穿越到奥特曼世界的任沐本以为自己要凉透了，谁知道却突然成为了雷奥尼克斯！只不过望着战斗仪中弱鸡的美尔巴，和聊天群中正在大发神威的噬星者基多拉，嗯，果然还是开挂爽啊！（简介,12.47万字
长安之上,迪巴拉爵士,历史·架空历史,连载,我们为了利益背叛，却为了良心救赎。大乾三年，冷漠如神灵般的帝王开口，于是风云激荡。沐浴在星辉下的乡下土包子杨玄茫然走进了长安城，手中握着来自于千年后的神奇卷轴，一脚就踩进了漩涡之中……直至站在长安之上,8.32万字
斗罗：转生海魂兽，比奇堡三大将,无色鸽鸽子,轻小说·衍生同人,连载,波塞冬靠着大海上万族的信仰成就了海神的神位，但是海魂兽们却没有得到其应得的，尤其是二代海神即位之后魔魂大白鲨居然还经历了灭族之祸。而如今。比奇堡海域的主人，异世界的来客伊冯·影歌将带领海魂兽们走出一条,13.48万字
我明明只想当龙套,如倾如诉,轻小说·原生幻想,连载,穿越是一件好事，可穿越到一个过于危险的世界却是一件毋庸置疑的坏事。于是，苏明决定要当一个龙套，不把自己练成十里坡剑神，誓不罢休。然而......“我是小时候住在你家附近的邻居，从小跟着你一起玩到大的，,20.26万字
模拟修仙：开局全点悟性了,诸相无我相,仙侠·古典仙侠,连载,【姓名：李响】【悟性：99970】【根骨：10】【家境：10】【气运：10】【属性分配已完毕，请问是否开启模拟？】“开始！”【0岁：你出生了，紫气东来三万里，仙尊惊醒，佛陀拈花，整个世界因为你的降生而,11.7万字
美漫悬赏令,白夜王,科幻·时空穿梭,连载,悬赏令：约翰.维克（赏金200万）：为了一辆车，一条狗，正在清理别家的户口本。德洛丽丝·艾本纳西（赏金500万）：去西部世界耍过吗？如果你去过，你就见过她。铁血战士，（赏金1000万）：他和你，到底谁,12.81万字
联盟：求求你们别C了！,我是闲人啊,游戏·电子竞技,连载,如何评价郭嬴？369：我真的有在和他拉扯了！左手：和他打bo5的话，撑到第四局就算成功。showmaker：我坚信，若要重铸LCK的荣光，他是我必须要跨越的一座大山。黑子：吹得这么天花乱坠，怎么决赛K,13.78万字
三国：我帮刘备种出万里江山,西门扬舟,历史·秦汉三国,连载,农大研究生蓝田穿越三国，没有金手指的他靠种田崛起。科学种植让百姓能吃饱，科学种植让百姓能吃好。小沛农界大司马，金牌导师蓝子玉。从误解刘备的仁义，到帮助他争夺天下，蓝田逐渐了解这个三国第一创业人。刘备有,14.61万字
住口！吃妖乃天地正道！,出门下雨,仙侠·古典仙侠,连载,天地绝灵、神州末法。诡异复苏，蒸汽机械却自西洋而始……妖魔食人，异教为祸。大劫至！兵灾将起！白小石从睡梦中醒来，却发现自己成了妖物的夺魂替形的人祭。为求自保，篡灵改仪，反以妖邪作祭，成就至道！……多年,19.11万字
我的恋爱画风有些不正常,喜欢红烧带鱼,轻小说·恋爱日常,连载,本书为日常恋爱系画风，欢迎品鉴。在箫逸看来，只要是个女人，她就不可能是完美的，必然有漏洞存在。只要有漏洞，那么一切就好办了。人设崩塌系统为您服务。只要目标人设崩塌就可以获得大量的奖励。冰山御姐？完美主,14.46万字
魔门大玩家,朔风树下,仙侠·古典仙侠,连载,【修仙从魔门开始】号称“多宝道人”的高级玩家，从2035年最火爆的虚拟现实游戏《兜率天》穿越到修真界魔门大宗，没有金手指，但脑海中却保留了游戏里九件通天灵宝的炼制记忆——无形剑、两界幡、定玄镜、炼妖壶,20.32万字
闯关东，我成了朱传文,买包芙蓉王,历史·清史民国,连载,朱老大，天老二。东北这旮沓，我说了算。1904年，从一家磨坊起家，那个唯唯诺诺的朱传文，成了东北王。【本小说纯属作者同人，YY之作】,16.21万字
