书名,作者,分类,状态,介绍,字数
亮剑之从永不磨灭的番号开始,我是三水啊,军事·战争幻想,连载,周维汉开局就去总部炊事班背大锅。李云龙：“凭什么他周维汉能去总部背大锅，我只能去旅部背大锅？”李云龙：“九二式步兵炮，好东西啊，周老弟，咱俩虽然是第一次见面，可是我李云龙打心眼里感觉亲切。”周维汉：“,16.68万字
成为岩王爷的我却干着诸天的活,保底人保底魂,轻小说·衍生同人,连载,本书又名《从斗罗开始当岩王爷》《这个岩王爷居然带钱了》我现在叫钟衍，我确定我穿越了，穿越前我在电脑前快乐的玩着原神，我看了看陪伴帝君许久的天空薄荷，又看了看刚刚抽到手的将军大人，于是毅然决然的把天空薄,12.72万字
在美漫抽取魔兽争霸技能,瞌睡的小不点,科幻·时空穿梭,连载,穿越漫威五年，梅乾只想靠着自己开的理疗馆来实现财务自由。即使有着众多技能傍身，梅乾也不想去趟时间线上的那些浑水。谁知，世间的很多事不是你不想，你就能逃过的，就在那个漫威村长踏进理疗馆的那一刻，很多事就,21.87万字
全世界都不相信我是导演,徐二十一,都市·娱乐明星,连载,许慕拍了一部电影《叶问》，没想到竟然在现实中应验了。随后，他拍了一部又一部电影和电视剧，其中情节也都一一成真了，这让全世界的人不得不怀疑他的真实身份。有人怀疑他是武学宗师，有人怀疑他是犯罪嫌疑人，也有,22.56万字
我有一卷降妖谱,中二少年肤浅,轻小说·原生幻想,连载,画皮女鬼夜点灯，千年古尸正敲门。檐上白蛇惊欲走，床底魔灵怕作声。开局手握降妖谱，榜首都是枕边人……,26.31万字
我即是神话传说,高质量虾饺,仙侠·现代修真,连载,许佑得到《诸天密卷》，只需献祭圣器，便能化身千万。关羽、哪吒、孙悟空……乃至三清、如来，诸天万界的满天神佛都是他的力量！超越凡俗，触碰神秘，是为超脱。扭曲心智，侵蚀现实，是为圣物。这是个一切都在走向崩,14.28万字
荒野干饭王,呆萌小苏,都市·娱乐明星,连载,穿越到北极，苏陌惊讶的发现自己正在一档荒野生存节目中。很快，观众也惊讶的发现，这节目好像不再是一档荒野生存节目了啊......,17.71万字
我有种植空间,远方灯火,都市·都市生活,连载,二十六岁的张程是个普通工人。每天上班拧螺丝。不过他却有个外挂。那是他二十三岁的时候，不知道怎么就获得的一片空间。空间半亩地大小。可以种植，也可以养殖。但除了收获可以拿出来，空间所需可以收入外，连个空间,18.26万字
求生世界黑心军团长,狐狸酿葡萄醋,游戏·游戏异界,连载,【求生世界欢迎您】【您已获得初始兵种，板牙兔】【您将作为军团长，带领军团生存下去】苏布：“道理我都懂，可为什么别人的兵种，都是泰坦巨猿，眼镜王蛇，龙血牦牛，到我这就变成板牙兔了？”迫不得已，苏布踏上黑,17.39万字
从假面骑士编年史开始,倾白平,轻小说·衍生同人,连载,苏宸穿越到假面骑士世界，获得假面骑士编年史。本以为是个游戏卡带，可当他打开那本写着假面骑士编年史名称的书籍陷入了沉默。真正的简介：苏宸传承恶魔科学家葛城巧的天赋，走上了自己造外挂的道路，率领博物馆成为,15.19万字
合道,断桥残雪,仙侠·幻想修仙,连载,修神道门缥缈虚无，神秘莫测；炼气道门超然于世，监察社稷；武道盛行于世，争霸天下；魔门妖党隐于暗处，伺机作乱。大劫将至，天下渐乱，群雄并起。秦子陵重生在大齐国偏远小郡一位贫寒年轻子弟身上，开始重复一个噩,9.02万字
全球演武，我能登录神诡世界,西厂田化雨,科幻·时空穿梭,连载,全球巨变，文明争渡，小人物陈一平携‘属性异能’，登入妖魔世界，往来诸天，资源互补，于微末中崛起，一脚踏入大时代！,19.8万字
玩遍诸天世界,吾梦中好加更,科幻·时空穿梭,连载,假如给你能够自由穿梭各种小说、动漫、影视等幻想世界的能力你会如何发展呢？开局拜师九叔、叶问还是岳不群？去《超能失控》获得念力？去《永无止境》谋求药剂？借着剧情优势谋取原主角的金手指？凭着先知先觉提前收,17.76万字
人生模拟器：我开启了人生简单模式,李拙言,科幻·超级科技,连载,【地狱模式：父母被奸人所害后，你以乞讨为生，背负血债家仇苦苦求生，你一生会有许多致命危机，并受到无数莫名其妙的敌意，完成任务目标后，你将会获得巨额奖励。】【困难模式：家境贫苦，父母卧病在床多年，且背负,15.06万字
我有一座聚财阵,极地风刃,都市·都市生活,连载,运气是啥？走路捡到钱？买彩票必中大奖？秦运捡到一枚铜钱，开启了财运系统。“余额已达到一万，每月可开启一级聚财阵一座。开启二级聚财阵需要余额达到一百万...”（群已建立，群号：614799090，有兴趣,18.43万字
天朝仙吏,六戏,仙侠·古典仙侠,连载,楚尘携心中庙宇降临大昌天朝，拜入道门。内炼丹道，外修符箓；诵经服气，斋醮科仪。掌雷法，掐剑诀，踏禹步，祈晴祷雨，召神遣将，解厄度人，斩妖除魔...,18.62万字
我就是人类帝皇,星空的云朵儿,奇幻·神秘幻想,连载,鲜血贵族和他们的血仆骑士收缴着残酷的血税，疯狂的血肉之主生长于所有的躯体中，狡诈的精灵无情地贩卖着各大种族的奴隶，强大的巫师收集着能见到的所有凡人用于自己违背伦理的实验。异种们肆无忌惮地压迫着弱小的种,16万字
什么叫对线型中单啊,今天你吃饭了吗,游戏·电子竞技,连载,顾山，职业IDshine。在s9对线单杀Faker，带RNG进入八强而闻名。又因为在八强对阵FPX时，过于专注对线而被诟病。被人称为：只会对线，不会打团。最后职业的高光，竟然是在V5的两把征服者露露。,15.54万字
从捡到小狐妖后开始的日常生活,柜子里的狐狸,轻小说·原生幻想,连载,某天梦里，路一鸣看到几天前捡回来的小狐狸后脚站起，极为人性化的问道：“您看我像人吗？”【选择吧！】【①我看你像一个中年秃顶，患有脚气，满脸猥琐的抠脚大汉奖励：猥琐大汉一只自由属性点5】【②我看你像一个,17.3万字
型月：我可是Assassin啊！,雄心碎,轻小说·衍生同人,连载,Assassin！即暗杀者！诡异，潜行，暗杀！他们钻研一击必杀的技艺，一击之后远遁千里，他们是敌人的噩梦！莫疏影身为一名暗杀者本该如此，但是他看了看自己的肌肉。“这一击必杀我OK的...但是为什么要跑,19.81万字
神域：新世界,朕横扫天下,奇幻·史诗奇幻,连载,优秀的灵魂总会被重视。可能这辈子普普通通，但前世一定不平凡。被一个新生的世界选中，运气是一部分，实力也是一部分。但！更重要的，是世代的累积。宇宙中，人类为主要种族。可是...如果只是人的话，那便太无趣,15.59万字
我的聊天群里全是我自己,月明南,科幻·时空穿梭,连载,林靖穿越诸天，发现这些诸天世界怎么与自己记忆中的一点也不一样，丧失了熟知剧情的优势，林靖准备作一条咸鱼。就在此时，聊天群出现在了自己的眼前，穿越了各个世界的自己加入了聊天群之中。我的金手指竟是我自己。,15.48万字
全能奶爸：开局双胞胎,下爻,都市·娱乐明星,连载,命运和白玉开了个大大的玩笑！穿越前，三十五岁，身价几亿，家有贤妻，喜得龙凤！穿越后，孤身长大，刚刚毕业，一穷二白，女友分手！而就在这个时候，干将路妇幼保健院打来电话。“白玉，你女朋友正在生产，需要你签,18.45万字
海贼：无敌从僵尸军团开始,水水泛泛,轻小说·衍生同人,连载,布冯穿越了，居然是海贼王的世界。三霸气横行，能力者遍地，大将一战就毁了一座岛，四皇交手直接切开了天空。好在获得了金手指，修复尸体就能获得能力！身为缝尸匠苟在莫利亚的船上，两耳不闻船外事，一心只想缝尸体,18.56万字
影帝他不想当太监,江公子阿宝,都市·娱乐明星,连载,我以后再也不要做太监了！大明朝最年轻最英俊的厂公，穿越成了横店一名群演。遣返倒计时开始！剩余时间92小时29分48秒……是当影帝日入两百万，还是被送回去当太监。你特凉的告诉我这是选择题？！！本书又名《,12.1万字
东京电子游戏大亨,小鸡啄小米,轻小说·原生幻想,连载,电子游戏是新时代人民娱乐的重要方式之一。然而穿越到平行世界的曰本的竹游星却发现这个世界的游戏产业无比萧条，似乎从来都没有兴起过。于是竹游星决定将第九艺术带给这个世界。“老妈，超级马里奥3发售了！这是我,13.56万字
四合院：从保安开始,第四笔名,科幻·时空穿梭,连载,穿越禽满四合院的杨辰，成为轧钢厂的一名保安！杨辰打算在这个世界苟着，等着机会到来！至于傻柱？他被秦淮茹一家吸血那是他活该！所以自己，笑看风云起就好。就在杨辰看热闹的时候，系统到来，为了任务奖励，杨辰美,16.95万字
当无限降临,叶恨水,科幻·未来世界,连载,穿越虚拟空间，成为网络世界的一道游魂。为了重新拥有真实的身体，苏唯制作网络游戏，引诱玩家进入，掠夺他们的真实度。一步一步将虚拟的无限世界，降临到真实的位面之中。本以为自己会成为世界公敌，结果没想到……,13.54万字
梦魇的我在异界做游戏,力之萃香,轻小说·原生幻想,连载,正常的梦魇：于沉睡中侵染梦境的魔怪，令人闻之色变的噩梦之主，它是绝望，是恐怖，是疯狂……天黑，别闭眼，此是属于梦魇的禁忌！钟游：“引诱人那有玩游戏快乐，什么？有人说我的游戏比梦魇的梦境还恐怖，是精神*,14.5万字
重生俄罗斯当寡头,琉璃湾,都市·都市生活,连载,重生世纪之交，人在莫斯科，刚下飞机，准备留学……王业本来只想小富即安，平淡幸福地过自己的小日子。但被命运之手推动着，身不由己地走向了寡头之路！,23.65万字
东京调制模式,月宵花昼,轻小说·原生幻想,连载,如果整个岛屿，都会顺从于我的意志。“爱意东升西落，浪漫至死不渝。”,15.02万字
某漫威的巫妖王,那就这样咯,科幻·进化变异,连载,罗尔德：“作为巫妖王，我对美漫世界的繁荣与和和平做出了不可磨灭的贡献。——因为每一件的坏事；都有我的份！,17.3万字
签到从青云开始,万古从头再来,玄幻·东方玄幻,连载,在宇宙中漂流无数年，一朝转生。自此觉醒签到系统，横行万界，踏足诸天，打爆敌手，镇压寰宇。逆行时光，开辟未来，执掌轮回，唯我不朽。,18.76万字
大明：开局认朱元璋作爷爷！,反游猫,历史·两宋元明,连载,穿越到大明朝。黄雄英开局死了个爹，朱元璋开局也死了一个儿子。阴差阳错。黄雄英将朱元璋认作爷爷。两人就此成了爷孙。可渐渐的……黄雄英发现，他好像认错了爷爷，但又好像没错……,15.24万字
李治你别怂,贼眉鼠眼,历史·两晋隋唐,连载,“陛下非要与本宫作对吗？”武后凤眼含煞。李治畏惧地往后退了一步，吞了口口水道：“朕不敢……不对！李卿，李卿何在？”三朝功勋之后李钦载窜了出来，按住了李治不断后退的身躯，沉声道：“陛下，别怂！”李治仿佛,10.97万字
港综从拜师林风开始,夏天打水漂,科幻·时空穿梭,连载,穿越港综世界，徐浩成为了驱魔警察风叔的外甥。遭遇怪事后，徐浩毫不犹豫地选择，拜入了自己这位林姓远方表舅门下学道。习武修道，斩尽魑魅魍魉。于是……港岛上，多了一位名震港岛的高人。,20.92万字
诸天从焚决开始,彼岸门主,玄幻·异世大陆,连载,通观三千大千世界，洞悉诸天恒沙。这是一个身怀黄金瞳的少年，闯荡诸天的故事。,29.05万字
土豪的平常生活,水滴成海,都市·都市生活,连载,一个老实本分、不去酒吧不逛夜店的普通人，在突然有钱以后会怎么样？赚钱难，但有钱了玩儿谁还不会。,18.71万字
骑砍帝国文明群星,liuyuxi,游戏·游戏异界,连载,从水下第一个生命的萌芽开始到帝国时代的世界奇观再到罐装发电、天灾飞升您已经历许多现在带上您的“~”再开一个新档吧！！等等！！谁安装的MOD？,21.07万字
古今第一读书人,第五白,都市·都市生活,连载,做着《黄冈密卷》，获得今年高考真题一份（绝密）。读着《经济学原理》，收获明日股市开盘精准预测（绝密）。看了几页《科比传》，收获技能“篮球精通”（全明星级别）。……书中自有黄金屋！自有颜如玉！自有千钟粟,24.09万字
真君请息怒,张老西,仙侠·古典仙侠,连载,兵家乃入世之道，炼煞锻体，校阵荡寇，斩妖诛邪，保家守境，然不修性命，寿不过百。王玄魂穿修真界，已修兵家，只能凭借人望推演盘，将兵家术法推演至巅峰，争一线生机，自此踏鬼穴、捣妖巢、伐山破庙…许多年后，众,12.73万字
射雕之长戟当空,我有梦想吗,武侠·武侠同人,连载,这是一人一戟扫尽天下不平事的故事！,14.07万字
我有一卷黄庭经,崇四郎,仙侠·幻想修仙,连载,仙人谪凡，邪祟滋生，佛陀断首，妖魔横行，这是一个众生沉沦的黑暗大世。问菩萨为何倒坐？叹众生不肯回头。是非黑白届颠倒，天下苍生如何救？......经年之后，顾诚高卧九重青天，览尽芸芸众生。他年相逢，非仙,20.17万字
人在迪迦，开局伽马未来！,玖月樱花,轻小说·衍生同人,连载,闪耀迪迦：【这代表我就是希望！】传奇戴拿：【因为我是奇迹！】至高盖亚：【我会守住地球的一切！】至高阿古茹：【平成三杰带我玩就算成功！】······站在无数的巨人面前，那一道清脆的声音响起，伴随着时光被,13.11万字
诸天武命,我叫排云掌,科幻·时空穿梭,连载,武！什么是武？强身健体？保家卫国？战无不胜？还是不断超越极限？,20.05万字
人在东京，妖魔榜第一,这还得了,轻小说·原生幻想,连载,东京之上屹立两座巨碑，一座妖魔榜，一座除妖榜。青木辉见，东明高中二年级，平平无奇的东京帅哥，默默无闻除妖人。没人知道他还有着另外两个马甲——除妖榜第一，青木原。妖魔榜第一，人间诡异。...五年前，妖魔,29.46万字
我能给御兽加载扮演模板,胖之猛虎,玄幻·异世大陆,连载,穿越御兽世界，获得【加载模板系统】。当【水跃蛙】加载了【自来也模板】，一只好色的非主流蛤蟆出现了！当【光明鼠】加载了【黄猿模板】，一只朝九晚五的咸鱼鼠出现了！当【剑舞草】加载了【索隆模板】，一只满脑子,17.4万字
全民领主：我家建筑能说话,昆卡喵,游戏·游戏异界,连载,全民穿越成领主，冯昭也不过想苟在家里安心发展而已。可我这领地里的建筑，怎么就这么闹心呢？外面的世界打生打死，惨烈血腥，冯昭却像开了一间幼儿园，天天处理建筑的小情绪。怪物肆虐、兵临城下。“快！快去请冯昭,15.96万字
潜伏在娱乐圈的金融大鳄,树下观蚂蚁,都市·都市生活,连载,在金融圈崭露头角的温玉，穿越到了一个平行世界，成为了戏剧学院的一名学生。身无长物、毫无资源的他，只得通过抄袭原世界的影视剧本、小说来积累启动资金。本想捞够第一桶金就做回老本行，不曾想，随着作品爆红，加,17.12万字
我刚编的论文竟然成真了,我是海陵王,都市·都市生活,连载,林辰写了一篇历史论文《中国人：印第安人的祖先》。没想到，还成真了。随后，他发表了一篇篇论文，尘封的历史一一被证实......林辰无奈道：“其实，我真是瞎猜的。”,13.51万字
诸天游戏旅行家,若清峰,科幻·时空穿梭,连载,车祸醒来，单机骨灰玩家罗夏，获得诸天游戏系统，从而进入各个不同的游戏世界。我曾在狂野危险且自由的西部，与亚瑟·摩根一同迎接新时代的浪潮！我曾在加勒比海之上，唱着歌谣，与海盗们一起掠夺财富！我也曾在满是,14.66万字
穿越成狐狸精是什么体验,咯嘣,轻小说·原生幻想,连载,“说多少次了！不要叫我女王大人！”“好的，女王大人！是的，女王大人！”看着面前这群不断摇着尾巴的妖怪，涂山瑶四十五度仰望天空：这妖精窝，她是一刻也不想多待了！————单身，无敌，仙侠,5.87万字
